"time","timeDate","close","high","low","open","volumefrom","volumeto"
1540263600000,"2018-10-23",202.95,204.2,202.48,204,19154.11,3885849.69
1540267200000,"2018-10-23",203.27,203.3,202.9,202.95,6510.54,1318514.14
1540270800000,"2018-10-23",203.28,203.66,203.01,203.27,3825.12,777019.34
1540274400000,"2018-10-23",203.19,203.36,202.76,203.28,6637.98,1349915.58
1540278000000,"2018-10-23",202.8,203.23,202.65,203.19,13549.16,2742354.12
1540281600000,"2018-10-23",202.74,202.89,202.58,202.8,10279.21,2091001.22
1540285200000,"2018-10-23",201.87,202.82,200.96,202.74,53330.51,10781840.31
1540288800000,"2018-10-23",201.14,201.87,200.51,201.87,11442,2302387.07
1540292400000,"2018-10-23",201.24,201.6,200.81,201.14,6415.54,1292393.72
1540296000000,"2018-10-23",202.26,202.47,201.21,201.24,15489.09,3130833.57
1540299600000,"2018-10-23",201.99,202.57,201.94,202.26,7654.8,1553228.02
1540303200000,"2018-10-23",201.52,202.03,201.46,201.99,4647.38,935872.45
1540306800000,"2018-10-23",201.43,202.07,201.43,201.55,7134.7,1440826.32
1540310400000,"2018-10-23",202.05,202.14,201.43,201.43,8747.17,1760259.88
1540314000000,"2018-10-24",201.72,202.15,201.71,202.05,6476.26,1308408.71
1540317600000,"2018-10-24",202.3,202.31,201.65,201.72,6902.19,1390965.61
1540321200000,"2018-10-24",203.99,204.82,202.12,202.31,23141.25,4724182.67
1540324800000,"2018-10-24",204.04,204.33,203.66,203.99,7307.65,1490378.12
1540328400000,"2018-10-24",204.09,204.3,203.82,204.04,7874.45,1598398.25
1540332000000,"2018-10-24",203.61,204.14,203.46,204.09,4981.84,1007960.43
1540335600000,"2018-10-24",203.7,204.14,203.54,203.61,3713.4,752611.44
1540339200000,"2018-10-24",204.06,204.19,203.18,203.7,4449.05,907373.1
1540342800000,"2018-10-24",203.99,204.29,203.95,204.06,3881.41,789098.6
1540346400000,"2018-10-24",203.93,204.14,203.83,203.99,3398.64,691210.06
1540350000000,"2018-10-24",204.3,204.44,203.9,203.93,5763.65,1177751.64
1540353600000,"2018-10-24",204.92,205.23,203.94,204.31,18612.1,3797922.15
1540357200000,"2018-10-24",205.05,205.31,204.64,204.89,22713.41,4670452.52
1540360800000,"2018-10-24",204.76,205.12,204.65,205.05,7495.97,1532074.06
1540364400000,"2018-10-24",204.83,204.86,204.39,204.77,5257.52,1077849.23
1540368000000,"2018-10-24",204.25,205.03,204.16,204.83,14624.48,2976876.23
1540371600000,"2018-10-24",204.39,204.43,203.86,204.25,6882.07,1401480.49
1540375200000,"2018-10-24",204.44,204.7,204.33,204.39,6038.79,1234062.99
1540378800000,"2018-10-24",204.27,204.53,203.97,204.44,8178.14,1664471.85
1540382400000,"2018-10-24",204.41,204.45,204.04,204.27,7078.44,1448898.04
1540386000000,"2018-10-24",204.33,204.63,204.29,204.41,8015.73,1630025.15
1540389600000,"2018-10-24",204.41,204.58,203.99,204.33,5454.79,1114347.37
1540393200000,"2018-10-24",203.02,204.44,203.02,204.4,13716.01,2798924.36
1540396800000,"2018-10-24",203.47,203.73,202.78,203.02,8923.3,1817154.37
1540400400000,"2018-10-25",203.64,203.7,203.1,203.49,4298.65,874224.29
1540404000000,"2018-10-25",203.29,203.64,203.24,203.6,4261,865416.99
1540407600000,"2018-10-25",203.2,203.45,202.77,203.29,10511.3,2137632.45
1540411200000,"2018-10-25",203.52,203.88,203.12,203.2,14202.73,2878683.35
1540414800000,"2018-10-25",203.63,203.89,203.4,203.58,6980.31,1419445.4
1540418400000,"2018-10-25",202.94,203.7,202.91,203.63,3805.49,774284.53
1540422000000,"2018-10-25",202.92,203.14,202.44,202.94,7538.53,1530990.58
1540425600000,"2018-10-25",203.19,203.3,202.35,202.93,4906.19,998463.03
1540429200000,"2018-10-25",201.77,203.92,201.75,203.19,16915.55,3434754.54
1540432800000,"2018-10-25",201.4,202.1,199.79,201.77,64244.61,12779477.45
1540436400000,"2018-10-25",201.49,201.58,201.21,201.4,7373.79,1489141.11
1540440000000,"2018-10-25",201.24,201.52,201.1,201.49,8019.05,1613224.3
1540443600000,"2018-10-25",201.24,201.52,200.9,201.24,7455.65,1494180.46
1540447200000,"2018-10-25",201.63,201.67,201.13,201.24,6860.76,1380390.17
1540450800000,"2018-10-25",201.64,201.86,201.52,201.63,1766.99,357166.45
1540454400000,"2018-10-25",202.33,202.57,201.38,201.64,9004.79,1824112.86
1540458000000,"2018-10-25",201.79,202.35,201.79,202.33,2505.7,508254.34
1540461600000,"2018-10-25",201.64,201.99,201.45,201.78,17792.63,3567848.34
1540465200000,"2018-10-25",201.72,202.39,201.6,201.64,9365.1,1883685.73
1540468800000,"2018-10-25",202.14,202.16,201.72,201.72,4962.19,999029.95
1540472400000,"2018-10-25",202.01,202.39,201.92,202.14,9324.31,1878539.84
1540476000000,"2018-10-25",201.6,202.49,201.51,202,11369.98,2280238.56
1540479600000,"2018-10-25",201.6,201.82,201.45,201.6,7708.15,1546939.54
1540483200000,"2018-10-25",201.56,201.86,201.51,201.6,7894.39,1582209.28
1540486800000,"2018-10-26",201.89,201.93,201.52,201.57,11752.17,2353167.04
1540490400000,"2018-10-26",202.12,202.27,201.87,201.92,9775.89,1966848.09
1540494000000,"2018-10-26",201.87,202.14,201.72,202.12,6056.16,1217893.01
1540497600000,"2018-10-26",201.77,201.93,201.55,201.87,9909.26,1987417.79
1540501200000,"2018-10-26",201.67,201.95,201.51,201.77,11038.16,2215508.67
1540504800000,"2018-10-26",202.26,202.29,201.41,201.67,8356.78,1688184.8
1540508400000,"2018-10-26",201.23,202.26,201.23,202.26,9736.53,1962902.66
1540512000000,"2018-10-26",201.5,201.76,201.14,201.23,6160.11,1238459.07
1540515600000,"2018-10-26",201.12,201.5,201.04,201.5,5568.72,1117793.39
1540519200000,"2018-10-26",201.42,201.47,200.97,201.12,6824.52,1372840.77
1540522800000,"2018-10-26",201.27,201.53,201.24,201.42,6321.76,1270140.49
1540526400000,"2018-10-26",201.09,201.28,200.94,201.27,4802.92,965145.96
1540530000000,"2018-10-26",201.47,201.65,201.02,201.09,15870,3179341.76
1540533600000,"2018-10-26",201.4,201.65,201.32,201.47,2855.43,574970.56
1540537200000,"2018-10-26",200.73,201.42,200.46,201.4,13913.63,2807664.38
1540540800000,"2018-10-26",205.53,206.66,200.53,200.73,89138.97,18330889.42
1540544400000,"2018-10-26",204.02,206.13,203.88,205.53,32559.2,6708543.79
1540548000000,"2018-10-26",203.93,204.19,203.85,204.02,5380.38,1101350.21
1540551600000,"2018-10-26",203.86,204.27,203.86,203.94,6720.19,1373950.66
1540555200000,"2018-10-26",203.41,203.98,203.14,203.86,9576.21,1951870.93
1540558800000,"2018-10-26",202.98,203.58,202.98,203.41,11055.97,2239271.85
1540562400000,"2018-10-26",202.58,203.03,201.59,202.98,40350.36,8188648.62
1540566000000,"2018-10-26",202.34,202.95,202.15,202.59,8411.96,1700543.4
1540569600000,"2018-10-26",202.7,202.72,202.31,202.34,7441.98,1499968.31
1540573200000,"2018-10-27",202.62,202.85,202.47,202.7,6076.73,1226559.48
1540576800000,"2018-10-27",202.51,202.65,202.2,202.61,5586.99,1127494.1
1540580400000,"2018-10-27",202.48,202.64,202.44,202.52,3863.87,780496.94
1540584000000,"2018-10-27",203.15,203.42,202.47,202.48,12174.55,2462611.19
1540587600000,"2018-10-27",203.31,203.38,203.11,203.15,5866.36,1190103.27
1540591200000,"2018-10-27",203.11,203.43,203.09,203.31,2989.23,603326.03
1540594800000,"2018-10-27",203.37,203.38,202.73,203.11,3900.17,791996.8
1540598400000,"2018-10-27",203.53,203.63,202.86,203.37,4035.11,818271.76
1540602000000,"2018-10-27",203.57,203.75,203.39,203.53,2443.13,494708.58
1540605600000,"2018-10-27",203.54,203.77,203.34,203.6,3289.19,665568.02
1540609200000,"2018-10-27",203.54,203.8,203.3,203.57,3890.58,789732.86
1540612800000,"2018-10-27",203.79,203.79,203.14,203.54,2430.56,493059.77
1540616400000,"2018-10-27",203.65,203.91,203.54,203.79,1517.46,309951.72
1540620000000,"2018-10-27",203.61,203.86,203.47,203.65,1739.53,354328.89
1540623600000,"2018-10-27",203.66,203.78,203.46,203.61,2765.88,560504.65
1540627200000,"2018-10-27",203.2,203.77,203.18,203.77,4799.33,973118.72
1540630800000,"2018-10-27",203.34,203.78,202.74,203.19,7872.84,1607939.83
1540634400000,"2018-10-27",203.36,203.43,203.18,203.34,2079.74,423141.82
1540638000000,"2018-10-27",203.11,203.4,203.11,203.36,2364.73,482403.03
1540641600000,"2018-10-27",202.83,203.14,202.72,203.11,2766.39,560394.23
1540645200000,"2018-10-27",202.78,203.35,202.78,202.83,4399.56,893688.1
